ids,englishs,czechs,pronunciations
"1729,4560,6273,7876","fit,fit,fit,fit","fit,namontovat,způsobilý,fit","fˈɪt,fˈɪt,fˈɪt,fˈɪt"
"1736,4597","shout,shout","výkřik,křičet","ʃˈaʊt,ʃˈaʊt"
"1748,1749","final,final","odkončit,finále","fˈaɪnəl,fˈaɪnəl"
"1751,4646","film,film","film,blána","fˈɪlm,fˈɪlm"
"1757,4425","escape,escape","únik,uniknout","ɛskˈeɪp,ɛskˈeɪp"
"1759,6064","doubt,doubt","pochyba,pochybovat","dˈaʊt,dˈaʊt"
"1760,6061,6062","double,double,double","dvojnásobek,zdvojnásobit,dvojník","dˈʌbəl,dˈʌbəl,dˈʌbəl"
"1775,4846","speed,speed","rychlost,chvátat","spˈiːd,spˈiːd"
"1776,4767","divide,divide","rozdělit,předěl","dᵻvˈaɪd,dᵻvˈaɪd"
"1780,7190","bend,bend","ohnout,ohyb","bˈɛnd,bˈɛnd"
"1782,3464","rush,rush","spěch,pospíchat","ɹˈʌʃ,ɹˈʌʃ"
"1792,8183,8197","drill,drill,drill","vrtat,vrtat,vrták","dɹˈɪl,dɹˈɪl,dɹˈɪl"
"1797,5556","sound,sound","zvuk,znít","sˈaʊnd,sˈaʊnd"
"1805,3410","besides,besides","kromě,navíc","bᵻsˈaɪdz,bᵻsˈaɪdz"
"1809,4556","downstairs,downstairs","dole,přízemí","dˈaʊnstɛɹz,dˈaʊnstɛɹz"
"1810,7308","hug,hug","obejmout,objetí","hˈʌɡ,hˈʌɡ"
"1811,6019","download,download","stáhnout,stažení","dˈaʊnloʊd,dˈaʊnloʊd"
"1825,5720","spread,spread","šíření,šířit","spɹˈɛd,spɹˈɛd"
"1831,4808","direct,direct","řídit,přímý","dᵻɹˈɛkt,dᵻɹˈɛkt"
"1837,3361","increase,increase","zvýšení,přírůstek","ˈɪŋkɹiːs,ˈɪŋkɹiːs"
"1838,1839","square,square","náměstí,čtverec","skwˈɛɹ,skwˈɛɹ"
"1846,3333","round,round","kolo,zaokrouhlit","ɹˈaʊnd,ɹˈaʊnd"
"1851,4748","display,display","displej,zobrazit","dɪsplˈeɪ,dɪsplˈeɪ"
"1852,5462","splash,splash","šplouchat,šplouchnutí","splˈæʃ,splˈæʃ"
"1853,4745","split,split","podíl,rozdělit","splˈɪt,splˈɪt"
"1856,4757","dislike,dislike","nechuť,mít odpor","dɪslˈaɪk,dɪslˈaɪk"
"1858,3381","ruin,ruin","zničit,zřícenina","ɹˈuːɪn,ɹˈuːɪn"
"1895,5399","schedule,schedule","rozpis,naplánovat","skˈɛdʒuːl,skˈɛdʒuːl"
"1903,2589","heat,heat","teplo,vytápět","hˈiːt,hˈiːt"
"1905,2616","hate,hate","nenávist,nenávidět","hˈeɪt,hˈeɪt"
"1911,2846","scream,scream","výkřik,křičet","skɹˈiːm,skɹˈiːm"
"1921,2520","bite,bite","kousat,skus","bˈaɪt,bˈaɪt"
"1925,7299","harm,harm","újma,poškodit","hˈɑːɹm,hˈɑːɹm"
"1937,2622","hit,hit","udeřit,hit","hˈɪt,hˈɪt"
"1978,2645","bill,bill","účet,účtovat","bˈɪl,bˈɪl"
"1996,6295","frame,frame","rám,falešně obvinit","fɹˈeɪm,fɹˈeɪm"
"2005,2008","pack,pack","balit,balíček","pˈæk,pˈæk"
"2015,5892","tip,tip","tip,spropitné","tˈɪp,tˈɪp"
"2020,5886","range,range","rozsah,dostřel","ɹˈeɪndʒ,ɹˈeɪndʒ"
"2027,4189","while,while","zatímco,když","wˈaɪl,wˈaɪl"
"2032,3046","murder,murder","vražda,vraždit","mˈɜːdɚ,mˈɜːdɚ"
"2044,4157","account,account","účet,zpráva","ɐkˈaʊnt,ɐkˈaʊnt"
"2048,4054","view,view","pohled,vidět","vjˈuː,vjˈuː"
"2074,4931","professional,professional","profesionální,odborný","pɹəfˈɛʃənəl,pɹəfˈɛʃənəl"
"2081,3028","model,model","model,modelovat","mˈɑːdəl,mˈɑːdəl"
"2096,5788","rate,rate","sazba,hodnotit","ɹˈeɪt,ɹˈeɪt"
"2100,2983","rap,rap","rap,klepat","ɹˈæp,ɹˈæp"
"2104,4184","whole,whole","celý,celek","hˈoʊl,hˈoʊl"
"2105,4225","tie,tie","uvázat,kravat","tˈaɪ,tˈaɪ"
"2106,2107","tidy,tidy","uklizeno,uklidit","tˈaɪdi,tˈaɪdi"
"2133,3344","notice,notice","oznámení,všimnout si","nˈoʊɾɪs,nˈoʊɾɪs"
"2134,2536","print,print","vytisknout,výtisk","pɹˈɪnt,pɹˈɪnt"
"2139,3566","quality,quality","kvalita,kvalitní","kwˈɔlᵻɾi,kwˈɔlᵻɾi"
"2140,2865","patient,patient","pacient,trpělivý","pˈeɪʃənt,pˈeɪʃənt"
"2158,5645","quit,quit","přestat,odejít","kwˈɪt,kwˈɪt"
"2163,4034","wave,wave","vlna,mávat","wˈeɪv,wˈeɪv"
"2167,5664","trick,trick","klam,oklamat","tɹˈɪk,tɹˈɪk"
"2170,5771","trust,trust","důvěřovat,důvěra","tɹˈʌst,tɹˈʌst"
"2171,2180","average,average","zprůměrovat,průměrný","ˈævɹɪdʒ,ˈævɹɪdʒ"
"2172,5288","principal,principal","hlavní,ředitel školy","pɹˈɪnsɪpəl,pɹˈɪnsɪpəl"
"2175,4032","act,act","akt,jednat","ˈækt,ˈækt"
"2177,2179","across,across","napříč,přes","əkɹˈɑːs,əkɹˈɑːs"
"2178,4334","trouble,trouble","problémy,trápit","tɹˈʌbəl,tɹˈʌbəl"
"2182,3495","net,net","síť,netto","nˈɛt,nˈɛt"
"2187,3610","award,award","cena,ocenit","ɐwˈɔːɹd,ɐwˈɔːɹd"
"2192,2193","pass,pass","přihrávka,přejít","pˈæs,pˈæs"
"2211,5774","trade,trade","obchod,obchodovat","tɹˈeɪd,tɹˈeɪd"
"2217,5862","track,track","dráha,sledovat","tɹˈæk,tɹˈæk"
"2222,2224","adult,adult","dospělý (podstatné jméno),dospělý (přídavné jméno)","ɐdˈʌlt,ɐdˈʌlt"
"2231,6914","musical,musical","hudební,muzikál","mjˈuːzɪkəl,mjˈuːzɪkəl"
"2232,2928","assistant,assistant","asistent,pomocný","ɐsˈɪstənt,ɐsˈɪstənt"
"2240,7145","panic,panic","panika,panikařit","pˈænɪk,pˈænɪk"
"2269,7106","part,part","část,oddělit","pˈɑːɹt,pˈɑːɹt"
"2270,6925","mix,mix","směs,smíchat","mˈɪks,mˈɪks"
"2281,4060","upstairs,upstairs","patro,nahoru","ʌpstˈɛɹz,ʌpstˈɛɹz"
"2286,3157","record,record","zaznamenat,záznam","ɹˈɛkɚd,ɹˈɛkɚd"
"2287,2294","attack,attack","útok,útočit","ɐtˈæk,ɐtˈæk"
"2297,5038","upset,upset","naštvaný,naštvat","ʌpsˈɛt,ʌpsˈɛt"
"2298,4252","tape,tape","páska,nahrát","tˈeɪp,tˈeɪp"
"2300,3211","mention,mention","zmínka,zmínit","mˈɛnʃən,mˈɛnʃən"
"2318,5466","tap,tap","klepnout,dřezová baterie","tˈæp,tˈæp"
"2327,4278","tear,tear","roztrhnout,slza","tˈɪɹ,tˈɪɹ"
"2329,2764","plenty,plenty","spousta,hojnost","plˈɛnti,plˈɛnti"
"2346,3384","attempt,attempt","pokus,pokusit","ɐtˈɛmpt,ɐtˈɛmpt"
"2354,6447","challenge,challenge","výzva,vyzývat","tʃˈælɪndʒ,tʃˈælɪndʒ"
"2380,6435","cause,cause","způsobit,příčina","kˈɔːz,kˈɔːz"
"2396,3421","opposite,opposite","naproti,protější","ˈɑːpəzˌɪt,ˈɑːpəzˌɪt"
"2397,7083","original,original","původní,prvotní","ɚɹˈɪdʒɪnəl,ɚɹˈɪdʒɪnəl"
"2411,4118","wonder,wonder","divit se,zázrak","wˈʌndɚ,wˈʌndɚ"
"2416,4914","value,value","hodnota,cenit si","vˈæljuː,vˈæljuː"
"2418,2436","offer,offer","nabídka,nabízet","ˈɔfɚ,ˈɔfɚ"
"2431,2629","promise,promise","slib,slibovat","pɹˈɑːmɪs,pɹˈɑːmɪs"
"2443,2672","plant,plant","rostlina,zasadit","plˈænt,plˈænt"
"2455,3437","public,public","veřejný,veřejnost","pˈʌblɪk,pˈʌblɪk"
"2459,3035","reach,reach","dosáhnout,dosah","ɹˈiːtʃ,ɹˈiːtʃ"
"2460,2463","text,text","text,textovat","tˈɛkst,tˈɛkst"
"2473,2671","plastic,plastic","plast,plastový","plˈæstɪk,plˈæstɪk"
"2511,8066,8072","hanging,hanging,hanging","závěsný,závěsný,oběšení","hˈæŋɪŋ,hˈæŋɪŋ,hˈæŋɪŋ"
"2515,7279","highlight,highlight","vyzdvihnout,zvýraznění","hˈaɪlaɪt,hˈaɪlaɪt"
"2516,4917","progress,progress","pokrok,pokročit","pɹˈɑːɡɹɛs,pɹˈɑːɡɹɛs"
"2525,2530","score,score","skóre,skórovat","skˈɔːɹ,skˈɔːɹ"
"2558,7085","outline,outline","načrtnout,obrys","ˈaʊtlaɪn,ˈaʊtlaɪn"
"2592,4888","process,process","proces,zpracovat","pɹˈɑːsɛs,pɹˈɑːsɛs"
"2612,7292","haunt,haunt","strašit,sužovat","hˈɔːnt,hˈɔːnt"
"2643,5621","scan,scan","sken,skenovat","skˈæn,skˈæn"
"2647,5435","scratch,scratch","škrábnutí,poškrábat","skɹˈætʃ,skɹˈætʃ"
"2653,2660","service,service","sloužit,služba","sˈɜːvɪs,sˈɜːvɪs"
"2654,5107","pound,pound","libra,tlouci","pˈaʊnd,pˈaʊnd"
"2665,2682","general,general","obecný,generál","dʒˈɛnɚɹəl,dʒˈɛnɚɹəl"
"2684,5116","powder,powder","prášek,poprášit","pˈaʊdɚ,pˈaʊdɚ"
"2690,2693","arrest,arrest","zatčení,zatknout","ɚɹˈɛst,ɚɹˈɛst"
"2694,5138","praise,praise","chvála,chválit","pɹˈeɪz,pɹˈeɪz"
"2696,8780,8782","glint,glint,glint","záblesk,záblesk,záblísknout","ɡlˈɪnt,ɡlˈɪnt,ɡlˈɪnt"
"2701,2702","glance,glance","pohlédnout,pohled","ɡlˈæns,ɡlˈæns"
"2720,6136","blush,blush","zrudnout,růžová","blˈʌʃ,blˈʌʃ"
"2739,6150","bold,bold","odvážné,tučné písmo","bˈoʊld,bˈoʊld"
"2745,2758","bomb,bomb","bombardovat,bomba","bˈɑːm,bˈɑːm"
"2773,2775","gain,gain","zisk,získat","ɡˈeɪn,ɡˈeɪn"
"2779,6999","plug,plug","zástrčka,zastrčit","plˈʌɡ,plˈʌɡ"
"2782,7016","poison,poison","jed,otrávit","pˈɔɪzən,pˈɔɪzən"
"2793,2794","fund,fund","fond,financovat","fˈʌnd,fˈʌnd"
"2803,6189","guarantee,guarantee","záruka,zaručit","ɡˌæɹəntˈiː,ɡˌæɹəntˈiː"
"2805,2806","press,press","stiskněte,stlačit","pɹˈɛs,pɹˈɛs"
"2812,2814","guide,guide","provádět,průvodce","ɡˈaɪd,ɡˈaɪd"
"2815,2837","pause,pause","pozastavit,pauza","pˈɔːz,pˈɔːz"
"2825,2826","grill,grill","gril,grilovat","ɡɹˈɪl,ɡɹˈɪl"
"2855,7289","hammer,hammer","zatloukat,kladivo","hˈæmɚ,hˈæmɚ"
"2877,6185","blend,blend","smíchat,směs","blˈɛnd,blˈɛnd"
"2880,6215","gossip,gossip","drby,klábosit","ɡˈɑːsɪp,ɡˈɑːsɪp"
"2907,4864","antique,antique","starožitnost,antický","æntˈiːk,æntˈiːk"
"2935,2951","grant,grant","udělit,grant","ɡɹˈænt,ɡɹˈænt"
"2961,7387","lean,lean","naklánět se,štíhlý","lˈiːn,lˈiːn"
"2963,7388","leap,leap","skok,skočit","lˈiːp,lˈiːp"
"2965,2967","monitor,monitor","monitor,kontrolovat","mˈɑːnɪɾɚ,mˈɑːnɪɾɚ"
"2999,5534","remark,remark","poznámka,poznamenat","ɹᵻmˈɑːɹk,ɹᵻmˈɑːɹk"
"3011,6893","balance,balance","váhy,vyrovnávat","bˈæləns,bˈæləns"
"3013,3081","lift,lift","výtah,zvednout","lˈɪft,lˈɪft"
"3051,7557","beat,beat","rytmus,porazit","bˈiːt,bˈiːt"
"3054,5449","resident,resident","obyvatel,usedlý","ɹˈɛzᵻdənt,ɹˈɛzᵻdənt"
"3065,3526","respect,respect","úcta,respektovat","ɹᵻspˈɛkt,ɹᵻspˈɛkt"
"3067,7780,7781","resort,resort,resort","letovisko,letovisko,uchýlit se k","ɹᵻzˈɔːɹt,ɹᵻzˈɔːɹt,ɹᵻzˈɔːɹt"
"3070,3083","reserve,reserve","rezervovat,rezerva","ɹɪzˈɜːv,ɹɪzˈɜːv"
"3101,6905","mount,mount","hora,namontovat","mˈaʊnt,mˈaʊnt"
"3104,3120","rescue,rescue","záchrana,zachránit","ɹˈɛskjuː,ɹˈɛskjuː"
"3127,7448","bare,bare","holý,prostý","bˈɛɹ,bˈɛɹ"
"3129,3130","register,register","zaregistrovat,rejstřík","ɹˈɛdʒɪstɚ,ɹˈɛdʒɪstɚ"
"3136,3137","measure,measure","změřit,opatření","mˈɛʒɚ,mˈɛʒɚ"
"3160,3161","medium,medium","prostředí,střední","mˈiːdiəm,mˈiːdiəm"
"3196,3199","bang,bang","rána,trhnutí","bˈæŋ,bˈæŋ"
"3202,5396","regard,regard","považovat,ohled","ɹᵻɡˈɑːɹd,ɹᵻɡˈɑːɹd"
"3214,3215","liquid,liquid","kapalný,kapalina","lˈɪkwɪd,lˈɪkwɪd"
"3231,3232","link,link","spojit,odkaz","lˈɪŋk,lˈɪŋk"
"3243,3244","limit,limit","limit,omezit","lˈɪmɪt,lˈɪmɪt"
"3260,6887","mess,mess","nepořádek,zašpinit","mˈɛs,mˈɛs"
"3271,7443","bark,bark","kůra,štěkat","bˈɑːɹk,bˈɑːɹk"
"3285,3293","relative,relative","příbuzný,relativní","ɹˈɛlətˌɪv,ɹˈɛlətˌɪv"
"3304,6836","objective,objective","objektivní,cíl","ɑːbdʒˈɛktɪv,ɑːbdʒˈɛktɪv"
"3306,6835","object,object","objekt,namítat","ˈɑːbdʒɛkt,ˈɑːbdʒɛkt"
"3320,5868","appeal,appeal","odvolání,přitažlivost","ɐpˈiːl,ɐpˈiːl"
"3327,7433","mass,mass","mše,hmota","mˈæs,mˈæs"
"3358,7238","individual,individual","jednotlivec,individuální","ˌɪndᵻvˈɪdʒuːəl,ˌɪndᵻvˈɪdʒuːəl"
"3394,3396","hunt,hunt","lov,lovit","hˈʌnt,hˈʌnt"
"3416,5069","protest,protest","protest,protestovat","pɹˈoʊtɛst,pɹˈoʊtɛst"
"3449,7328","benefit,benefit","prospěch,mít prospěch z něčeho","bˈɛnɪfˌɪt,bˈɛnɪfˌɪt"
"3453,5620","safeguard,safeguard","záruka,chránit","sˈeɪfɡɑːɹd,sˈeɪfɡɑːɹd"
"3467,5313","risk,risk","riziko,riskovat","ɹˈɪsk,ɹˈɪsk"
"3471,3472","iron,iron","železo,žehlit","ˈaɪɚn,ˈaɪɚn"
"3487,5597","approach,approach","přístup,přiblížit","ɐpɹˈoʊtʃ,ɐpɹˈoʊtʃ"
"3504,5656","queue,queue","fronta,řadit se","kjˈuː,kjˈuː"
"3508,3509","rest,rest","odpočívat,odpočinek","ɹˈɛst,ɹˈɛst"
"3513,7553","joint,joint","spoj,kloub","dʒˈɔɪnt,dʒˈɔɪnt"
"3548,3549","race,race","závodit,závod","ɹˈeɪs,ɹˈeɪs"
"3564,5163","riddle,riddle","luštit,hádanka","ɹˈɪdəl,ɹˈɪdəl"
"3575,3576","rise,rise","stoupat,vzestup","ɹˈaɪz,ɹˈaɪz"
"3583,6757","nod,nod","kývnutí,pokývnout","nˈɑːd,nˈɑːd"
"3586,7211","initial,initial","počáteční,iniciála","ɪnˈɪʃəl,ɪnˈɪʃəl"
"3628,5091","reward,reward","odměna,odměnit","ɹᵻwˈɔːɹd,ɹᵻwˈɔːɹd"
"3640,6361","comment,comment","komentář,komentovat","kˈɑːmɛnt,kˈɑːmɛnt"
"3641,6374","commercial,commercial","komerční,reklamní šot","kəmˈɜːʃəl,kəmˈɜːʃəl"
"3654,5533","supply,supply","zásobování,zásobovat","səplˈaɪ,səplˈaɪ"
"3665,6498","butcher,butcher","řezník,zmasakrovat","bˈʊtʃɚ,bˈʊtʃɚ"
"3667,6429","collapse,collapse","kolaps,zhroutit se","kəlˈæps,kəlˈæps"
"3714,6334","compromise,compromise","kompromis,dohodnout se","kˈɑːmpɹəmˌaɪz,kˈɑːmpɹəmˌaɪz"
"3726,6375","conduct,conduct","chování,vést","kˈɑːndʌkt,kˈɑːndʌkt"
"3729,5614","suspect,suspect","podezřelý,tušit","sˈʌspɛkt,sˈʌspɛkt"
"3734,6465","chase,chase","štvanice,honit","tʃˈeɪs,tʃˈeɪs"
"3753,3774","charge,charge","útok,účtovat","tʃˈɑːɹdʒ,tʃˈɑːɹdʒ"
"3775,6514","chief,chief","hlavní,náčelník","tʃˈiːf,tʃˈiːf"
"3811,3821","switch,switch","přepnout,přepínač","swˈɪtʃ,swˈɪtʃ"
"3847,3867","damage,damage","poškození,poškotit","dˈæmɪdʒ,dˈæmɪdʒ"
"3862,3863","cycle,cycle","cyklus,kroužit","sˈaɪkəl,sˈaɪkəl"
"3868,5277","stick,stick","hůl,držet","stˈɪk,stˈɪk"
"3874,6571","delight,delight","rozkoš,udělat radost","dᵻlˈaɪt,dᵻlˈaɪt"
"3879,3880","demand,demand","požadovat,nárok","dᵻmˈænd,dᵻmˈænd"
"3895,6705","decline,decline","pokles,odmítnout","dᵻklˈaɪn,dᵻklˈaɪn"
"3897,3898","decrease,decrease","pokles,snížit","dˈiːkɹiːs,dˈiːkɹiːs"
"3914,6560","defeat,defeat","porazit,porážka","dᵻfˈiːt,dᵻfˈiːt"
"3935,5474","struggle,struggle","boj,zápasit","stɹˈʌɡəl,stɹˈʌɡəl"
"3937,7686","burst,burst","prasknutí,prasknout","bˈɜːst,bˈɜːst"
"3948,6402","content,content","spokojený,obsah","kˈɑːntɛnt,kˈɑːntɛnt"
"3959,5398","substitute,substitute","náhrada,nahradit","sˈʌbstɪtˌuːt,sˈʌbstɪtˌuːt"
"3965,3966","stream,stream","proudit,proud","stɹˈiːm,stɹˈiːm"
"3981,5650","strain,strain","kmen,namáhat","stɹˈeɪn,stɹˈeɪn"
"3985,6648","criminal,criminal","trestný,zločinec","kɹˈɪmɪnəl,kɹˈɪmɪnəl"
"3987,6678","counter,counter","čelit,počítadlo","kˈaʊntɚ,kˈaʊntɚ"
"3995,5458","strip,strip","pás,svléknout","stɹˈɪp,stɹˈɪp"
"3998,3999","crash,crash","pád,havarovat","kɹˈæʃ,kɹˈæʃ"
"4005,6642","burden,burden","břemeno,zatěžovat","bˈɜːdən,bˈɜːdən"
"4006,5796","stress,stress","stres,zdůrazňovat","stɹˈɛs,stɹˈɛs"
"4015,5271","volunteer,volunteer","dobrovolničit,dobrovolník","vˌɑːləntˈɪɹ,vˌɑːləntˈɪɹ"
"4037,4038","waste,waste","plýtvat,odpad","wˈeɪst,wˈeɪst"
"4057,4943","urge,urge","nutkání,urgovat","ˈɜːdʒ,ˈɜːdʒ"
"4064,5030","update,update","aktualizovat,aktualizace","ˈʌpdeɪt,ˈʌpdeɪt"
"4089,4102,9470","wax,wax,wax","vosk,voskovat,vosk","wˈæks,wˈæks,wˈæks"
"4104,5211","wound,wound","zranění,zranit","wˈuːnd,wˈuːnd"
"4121,5104","witness,witness","svědčit,svědek","wˈɪtnəs,wˈɪtnəs"
"4123,4125","wrap,wrap","balíček,zabalit","ɹˈæp,ɹˈæp"
"4130,4131","capture,capture","zachytit,zajmout","kˈæptʃɚ,kˈæptʃɚ"
"4142,5159","yell,yell","výkřik,křičet","jˈɛl,jˈɛl"
"4147,5096","wire,wire","drát,navléci","wˈaɪɚ,wˈaɪɚ"
"4148,9260","abundant,abundant","hojné,hojný","ɐbˈʌndənt,ɐbˈʌndənt"
"4182,5291","ache,ache","bolest,bolet","ˈeɪk,ˈeɪk"
"4187,5125","whistle,whistle","pískat,píšťalka","wˈɪsəl,wˈɪsəl"
"4188,5123","whisper,whisper","šepot,šeptat","wˈɪspɚ,wˈɪspɚ"
"4190,5319","whichever,whichever","podle toho,kterýkoliv","wɪtʃˈɛvɚ,wɪtʃˈɛvɚ"
"4193,5132","access,access","přístup,mít přístup","ˈæksɛs,ˈæksɛs"
"4194,6579","deposit,deposit","vklad,vložit","dᵻpˈɑːzɪt,dᵻpˈɑːzɪt"
"4227,4228","tick,tick","tikat,klíště","tˈɪk,tˈɪk"
"4277,5484","tease,tease","vtipálek,dráždit","tˈiːz,tˈiːz"
"4281,4283","aid,aid","pomoc,pomáhat","ˈeɪd,ˈeɪd"
"4284,5481","aim,aim","cíl,mířit","ˈeɪm,ˈeɪm"
"4298,4299","twist,twist","kroutit,krut","twˈɪst,twˈɪst"
"4337,5864","trace,trace","stopa,stopovat","tɹˈeɪs,tɹˈeɪs"
"4342,4343","total,total","součet,celkový","tˈoʊɾəl,tˈoʊɾəl"
"4346,5861","advance,advance","postupovat,záloha","ɐdvˈæns,ɐdvˈæns"
"4367,5651","treat,treat","léčit,zacházet","tɹˈiːt,tɹˈiːt"
"4371,5640","transport,transport","doprava,dopravovat","tɹˈænspɔːɹt,tɹˈænspɔːɹt"
"4376,5701","transfer,transfer","převádět,převod","tɹˈænsfɜː,tɹˈænsfɜː"
"4378,5676","trail,trail","stezka,stopovat","tɹˈeɪl,tɹˈeɪl"
"4396,5953","equal,equal","rovný,rovnat se","ˈiːkwəl,ˈiːkwəl"
"4401,5475","sneeze,sneeze","kýchnutí,kýchnout","snˈiːz,snˈiːz"
"4409,6085","encounter,encounter","setkání,setkat se","ɛŋkˈaʊntɚ,ɛŋkˈaʊntɚ"
"4453,5938","estimate,estimate","odhadovat,odhad","ˈɛstᵻmət,ˈɛstᵻmət"
"4472,4473","dump,dump","skládka,pustit k vodě","dˈʌmp,dˈʌmp"
"4499,6039","broadcast,broadcast","vysílání,vysílat","bɹˈɔːdkæst,bɹˈɔːdkæst"
"4516,5589","soil,soil","půda,zašpinit","sˈɔɪl,sˈɔɪl"
"4534,6103","breed,breed","množit,plemeno","bɹˈiːd,bɹˈiːd"
"4558,4644","exit,exit","odejít,výstup","ˈɛɡzɪt,ˈɛɡzɪt"
"4566,6304,6305","flash,flash,flash","záblesk,posvítit,rychle ukázat","flˈæʃ,flˈæʃ,flˈæʃ"
"4575,4576","flow,flow","tok,téci","flˈoʊ,flˈoʊ"
"4593,4594,8477","firm,firm,firm","firma,pevný,firma","fˈɜːm,fˈɜːm,fˈɜːm"
"4600,6231","finance,finance","financovat,finance","fˈaɪnæns,fˈaɪnæns"
"4608,4609","format,format","formát,naformátovat","fˈɔːɹmæt,fˈɔːɹmæt"
"4629,4630","fold,fold","složit,záhyb","fˈoʊld,fˈoʊld"
"4642,5204","shift,shift","řadit,posun","ʃˈɪft,ʃˈɪft"
"4656,5987","faint,faint","slabý,omdlít","fˈeɪnt,fˈeɪnt"
"4674,6012","experiment,experiment","experiment,experimentovat","ɛkspˈɛɹɪmənt,ɛkspˈɛɹɪmənt"
"4691,6268","fellow,fellow","druh,chlapík","fˈɛloʊ,fˈɛloʊ"
"4703,4903","sigh,sigh","povzdech,povzdechnout","sˈaɪ,sˈaɪ"
"4720,6253","bow,bow","luk,uklonit se","bˈoʊ,bˈoʊ"
"4725,6263","bounce,bounce","odskočit,odmítnout","bˈaʊns,bˈaʊns"
"4738,4838","dial,dial","vytočit telefon,číselník","dˈaɪəl,dˈaɪəl"
"4739,6533","designer,designer","designový,návrhář","dɪzˈaɪnɚ,dɪzˈaɪnɚ"
"4741,4778,9194","dive,dive,dive","skok,potápět se,potápět se","dˈaɪv,dˈaɪv,dˈaɪv"
"4787,6535","desire,desire","touha,toužit","dɪzˈaɪɚ,dɪzˈaɪɚ"
"4813,5787","sponsor,sponsor","sponzor,sponzorovat","spˈɑːnsɚ,spˈɑːnsɚ"
"4854,4855,4876","prompt,prompt,prompt","pohotový,napovídat,výzva","pɹˈɑːmpt,pɹˈɑːmpt,pɹˈɑːmpt"
"4872,4877","project,project","promítat,projekt","pɹˈɑːdʒɛkt,pɹˈɑːdʒɛkt"
"4940,4941","verse,verse","verš,veršovat","vˈɜːs,vˈɜːs"
"4946,4955","squash,squash","dýně,rozmáčkout","skwˈɑːʃ,skwˈɑːʃ"
"4989,4990","purchase,purchase","nankupovat,nákup","pˈɜːtʃɪs,pˈɜːtʃɪs"
"5006,5012","punch,punch","udeřit,úder","pˈʌntʃ,pˈʌntʃ"
"5009,5011","underground,underground","ilegální,podzemí","ˌʌndɚɡɹˈaʊnd,ˌʌndɚɡɹˈaʊnd"
"5032,5043","upgrade,upgrade","upgrade,upgradovat","ˈʌpɡɹeɪd,ˈʌpɡɹeɪd"
"5040,5047","upright,upright","vzpřímený,sloupek","ˈʌpɹaɪt,ˈʌpɹaɪt"
"5156,5157","yawn,yawn","zívnutí,zívat","jˈɔːn,jˈɔːn"
"5258,5264","retreat,retreat","útočiště,ustoupit","ɹᵻtɹˈiːt,ɹᵻtɹˈiːt"
"5283,5286","stain,stain","ušpinit,skvrna","stˈeɪn,stˈeɪn"
"5440,5443","stroke,stroke","úder,mrtvice","stɹˈoʊk,stɹˈoʊk"
"5444,5446","rebel,rebel","vzbouřit se,vzbouřenec","ɹˈɛbəl,ɹˈɛbəl"
"5467,5468","snore,snore","chrápat,chrápání","snˈɔːɹ,snˈɔːɹ"
"5507,5555","spare,spare","ušetřit,náhradní","spˈɛɹ,spˈɛɹ"
"5515,9041,9067","surge,surge,surge","přepětí,přepětí,nával","sˈɜːdʒ,sˈɜːdʒ,sˈɜːdʒ"
"5580,5599","swing,swing","houpačka,houpat","swˈɪŋ,swˈɪŋ"
"5641,5659","spray,spray","sprej,sprejovat","spɹˈeɪ,spɹˈeɪ"
"5694,5696","quote,quote","citovat,citát","kwˈoʊt,kwˈoʊt"
"5755,5757","quarrel,quarrel","hádka,hádat se","kwˈɔːɹəl,kwˈɔːɹəl"
"5843,5844","rape,rape","znásilňovat,znásilnění","ɹˈeɪp,ɹˈeɪp"
"5898,5911","slap,slap","facka,vrazit facku","slˈæp,slˈæp"
"5972,5973","extract,extract","výpis,vytáhnout","ˈɛkstɹækt,ˈɛkstɹækt"
"5999,6000","executive,executive","výkonný,vedoucí pracovník","ɛɡzˈɛkjuːtˌɪv,ɛɡzˈɛkjuːtˌɪv"
"6023,6024","drain,drain","vypustit,stoka","dɹˈeɪn,dɹˈeɪn"
"6043,6118","divorce,divorce","rozvést,rozvod","dᵻvˈɔːɹs,dᵻvˈɔːɹs"
"6100,6101","ease,ease","snadnost,zmírnit","ˈiːz,ˈiːz"
"6146,6149","bolt,bolt","prchat,šroub","bˈoʊlt,bˈoʊlt"
"6183,6194","grip,grip","rukojeť,uchopit","ɡɹˈɪp,ɡɹˈɪp"
"6186,6192","blaze,blaze","hořet,požár","blˈeɪz,blˈeɪz"
"6193,6737","blast,blast","vybuchnout,výbuch","blˈæst,blˈæst"
"6210,6220","bloody,bloody","krvavý,prokletý","blˈʌdi,blˈʌdi"
"6272,6274","boost,boost","podpora,zvýšit","bˈuːst,bˈuːst"
"6320,6321","bookmark,bookmark","založit,záložka","bˈʊkmɑːɹk,bˈʊkmɑːɹk"
"6346,6347","concrete,concrete","konkrétní,beton","kˈɑːŋkɹiːt,kˈɑːŋkɹiːt"
"6364,7785,7786,9589","commission,commission,commission,commission","komise,zakázka,zadat,komise","kəmˈɪʃən,kəmˈɪʃən,kəmˈɪʃən,kəmˈɪʃən"
"6385,8769,8770","converse,converse,converse","konverzovat,opačný,hovořit","kˈɑːnvɜːs,kˈɑːnvɜːs,kˈɑːnvɜːs"
